Product_ID,Product_Name,Product_Price_INR,Step_1_Issue_Identification,Step_2_Timeframe_Check,Step_3A_Return_Path,Step_3B_Warranty_Path,Step_4A_Condition_Check,Step_4B_Warranty_Claim,Step_5A_Return_Approved,Step_5B_Return_Rejected,Step_6_Replacement_Check,Step_7A_Replacement_Success,Step_7B_Refund_Process,Step_8_Final_Resolution,Escalation_Path,Legal_Framework
PROD-00040,KeyMate Pro,11127,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹11,127)","YES → Send replacement, case closed","NO → Initiate refund of ₹11,127: Full refund to original payment method...","Refund amount: ₹11,127 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00041,SpeedLink Drive,9292,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 36 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹9,292)","YES → Send replacement, case closed","NO → Initiate refund of ₹9,292: Full refund to original payment method...","Refund amount: ₹9,292 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00042,JoyBox Blocks,11555,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; BIS...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹11,555)","YES → Send replacement, case closed","NO → Initiate refund of ₹11,555: Refund minus 3% processing fee (min Rs.150)...","Refund amount: ₹11,555 via: Original payment method minus processing fee withi...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00043,BabyBloom Care Kit,11253,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Non-returnable item - No return conditions apply...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹11,253)","YES → Send replacement, case closed","NO → Initiate refund of ₹11,253: No refund - Non-returnable item...","Refund amount: ₹11,253 via: None...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00044,FunQuest Board,9433,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; BIS...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹9,433)","YES → Send replacement, case closed","NO → Initiate refund of ₹9,433: Refund minus 3% processing fee (min Rs.150)...","Refund amount: ₹9,433 via: Original payment method minus processing fee withi...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00045,SpeedRider Mini,11233,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; BIS...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹11,233)","YES → Send replacement, case closed","NO → Initiate refund of ₹11,233: Refund minus 3% processing fee (min Rs.150)...","Refund amount: ₹11,233 via: Original payment method minus processing fee withi...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00046,PulseScan Tracker,3624,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹3,624)","YES → Send replacement, case closed","NO → Initiate refund of ₹3,624: Full refund to original payment method...","Refund amount: ₹3,624 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00047,VitaBoost Tabs,3412,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Non-returnable item - No return conditions apply...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹3,412)","YES → Send replacement, case closed","NO → Initiate refund of ₹3,412: No refund - Non-returnable item...","Refund amount: ₹3,412 via: None...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00048,FlexMat Yoga,7841,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹7,841)","YES → Send replacement, case closed","NO → Initiate refund of ₹7,841: Full refund to original payment method...","Refund amount: ₹7,841 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00049,PowerCore 10K,16787,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 6 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹16,787)","YES → Send replacement, case closed","NO → Initiate refund of ₹16,787: Full refund to original payment method...","Refund amount: ₹16,787 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00050,TravelPro Backpack,18159,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹18,159)","YES → Send replacement, case closed","NO → Initiate refund of ₹18,159: Full refund to original payment method...","Refund amount: ₹18,159 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
